objectnummer;instelling.naam;objectnaam;titel;beschrijving;vervaardiging.datum.begin;vervaardiging.datum.eind;vervaardiger;vervaardiger.rol;vervaardiging.plaats
1974-114-004;Het Huis van Alijn (Gent);sierspeld;Ovale sierspeld van git;Opengewerkte sierspeld van git. De speld heeft de vorm van een ovaal. Binnenin deze ovaal is een vlinderdasvorm voorzien. Rondom de knop wordt een lint uitgebeeld dat naar beneden hangt. Deze is gestileerd (geslepen) met langwerpige arceringen. De speld heeft een bolronde vorm. Achteraan is een koperkleurige speld bevestigd.;1930;"";"";"";""
2004-247-351;Het Huis van Alijn (Gent);glasnegatief;Man en kind bij strandcabine, Blankenberge;"";"";"";Vander Haeghen, Arnold;fotograaf;Gent
2007-119-110;Het Huis van Alijn (Gent);haardroogkap;Haardroger Thomelec op statief;"";1965;1975;"";"";""
1976-173-300;Het Huis van Alijn (Gent);miniatuur;Speelgoedkoffiemolen;"";"";"";onbekend;"";""
1982-227-007;Het Huis van Alijn (Gent);bruidsboeket;Bruidsboeket in houdertje voor bloemenruiker, 1899;Het bruidsboeket bestaat uit een tros witte huwelijksbloemen die met was bewerkt zijn, een stukje kant en samengehouden met een lint die een strik vormt. Het houdertje bestaat uit een zeskantige greep uitlopend op een bolletje waaraan drie ringen van een ketting hangen. Bovenaan de greep een piramidevormig bloemhoudertje met ajourversiering (cartouches, strikken, linten, krullen, bloempjes en spitsbogen) waaraan een ketting hangt met haak om aan het ceintuur te haken.;1899-08-22;"";"";"";""
2007-117-059;Het Huis van Alijn (Gent);zeep;Zeep Sunlight;"";"";"";"";"";""
2004-247-753;Het Huis van Alijn (Gent);glasnegatief;Dames bij een kinderwagen op de Kouter;Een vrouw wandelt met een kinderwagen op de Kouter. Naast de kinderwagen staan twee dames de baby te bekijken. Links op de achtergrond zijn drie mannen bezig met een kar.;1890;1900;Vander Haeghen, Arnold;fotograaf;Gent
1965-089-002;Het Huis van Alijn (Gent);stangpop;Prins van Oranje;Stangpop van de Prins van Oranje. De pop is versierd met pareltjes en pailletten. De lange jas is met wit afgeboord en heeft een hoogopstaande kraag. De pop draagt een oranje vest en een dikke kniebroek. De oranje schoenen met hakje zijn zeer fijn uitgewerkt. De zooltjes zijn van leer (met kleine ingeklopte nageltjes) en de schoenen van stof. Poppenkastpop uit Ridder van Laarne van het Spelleke van de Muide.;1922;1950;"";"";""
2004-262-122;Het Huis van Alijn (Gent);sierspeld;Zwarte rouwspeld in de vorm van een vlinderdas;Zwarte sierspeld in de vorm van een vlinderdas of strik. De speld bestaat uit een compositie van geslepen facetsteentjes van git. Deze zijn op een metalen drager gekleefd. Aan de onderzijde van de broche is een traanvormige geslepen steen voorzien. De sierspeld sluit achteraan door middel van een goudkleurige pin.;"";"";"";"";""
1926-011;Het Huis van Alijn (Gent);rek;Rek van hout voor lepels;"";"";"";"";"";""
2000-003;Het Huis van Alijn (Gent);blauwsel;Doos met zakjes blauwsel;Rechthoekige doos van karton met zakjes blauwsel. Opschrift: Bleu reckitt en sachets - 60 sachets. De inhoud van de zakjes is voorzien van een wit doekje, een koordje en een etiket. Blauwsel is een witmaker en wordt gebruikt voor het bleken van textiel of papier.;"";"";"";"";""
2007-150-590;Het Huis van Alijn (Gent);dienblad;Dienblad Maes Pils;"";"";"";"";"";""
1975-092-007;Het Huis van Alijn (Gent);volksprent;Het nieuw en vermaekelyk ganze-spel;"";1785;1863;Poelman, Bernard;drukker;Gent
2004-247-074;Het Huis van Alijn (Gent);glasnegatief;Gentse leger in historische stoet 'Gent door de eeuwen heen', 1894;Figuranten van de Antisocialistische Bond en de Bond van Werklieden en Burgers in de historische stoet 'Gent door de eeuwen heen' op 29 juli 1894. Ze beelden het gewapende Gentse leger uit dat op weg is naar de Gulden Sporenslag. De voorman draagt de stedelijke banier. De foto is gemaakt op de Kouter, ter hoogte van zaal Concorde.;1894-07-29;"";Vander Haeghen, Arnold;fotograaf;""
2007-168-003;Het Huis van Alijn (Gent);postkaart;Spelende kinderen bij Sinterklaas;Sinterklaas tussen een groep kinderen met speelgoed.;"";"";"";"";""
1976-042-002;Het Huis van Alijn (Gent);foto;Lijkkoets eerste klasse;Foto van een lijkkoets voor volwassenen behorend tot de eerste klasse in de samenleving. De lijkkoets wordt getrokken door twee paarden die rouwkleden dragen. De lijkkoets wordt voorafgegaan door een ceremoniemeester.;"";"";Sacré, Edmond;fotograaf;Gent
2007-117-092;Het Huis van Alijn (Gent);platenspeler$radio-ontvanger;Kastmeubel met platenspeler en radio;"";"";"";"";"";""
1965-089-008;Het Huis van Alijn (Gent);stangpop;Kabouter Bim;Stangpop van kabouter Bim. Kop met groene puntmuts en grijze baard. Zwart jasje met blauwgrijze boord en rode manchetten. De poppenkastpop  heeft een hemd met zwarte, verticale lijnen en een rode kniebroek met onderaan groene banden. De kabouter draagt zwarte laarzen. Poppenkastpop van het Spelleke van de Muide.;1922;1950;"";"";""
1965-089-076;Het Huis van Alijn (Gent);stangpop;Volksleider Jan van Hembyse;Stangpop van Gents volksleider Jan van Hembyse (1513-1584). De pop draagt een lange jas met brede zakkleppers, afgewerkt met kant. Roze vest (nu bruin) met kanten kraagje. Zwarte kniebroek met kantjes onderaan en aan de zijkanten afgezoomd. Wit geschilderde kousen. Kostuum met vergulde metaaldraden. Het afboordsel is versierd. Poppenkastpop van het Spelleke van de Muide.;1922;1950;"";"";""
2009-061-009;Het Huis van Alijn (Gent);haarverzorgingsproduct;Igotint Color Shampoo;"";"";"";"";"";""
2004-247-124;Het Huis van Alijn (Gent);glasnegatief;De Montagne Russe op de foor op het Sint-Pietersplein te Gent, ca. 1890-1895;De Montagne Russe van directeur Russell voor de O.L.V. Sint-Pieterskerk op het Sint-Pietersplein te Gent tijdens de foor. Deze attractie werd aangedreven door een stoommachine. Op de foto is goed de loopbrug te zien die men moest bestijgen om bij de wagentjes te komen. De wagentjes hebben telkens vier bankjes achter elkaar, die op het moment van opname vol zaten met foorgangers.;1890;1895;Vander Haeghen, Arnold;fotograaf;Gent
2007-150-447;Het Huis van Alijn (Gent);nummerplaat;Nummerplaat voor fiets Hainaut 1953;"";1953;"";"";"";""
2003-002-150;Het Huis van Alijn (Gent);eenwieler;Eenwieler van Alice Chabre;Eenwieler of monocycle zonder zadel. Cilindervormig middenstuk met daarop ronddraaiende trappers met kruislings geplaatste ijzeren spaken. Het wiel is vervaardigd uit ijzer met tape. Fiets van Alice Chabre, behorende tot de groep The Readings.;1920;"";"";"";""
2007-150-201;Het Huis van Alijn (Gent);stoffer;Stoffer Saturnus;"";"";"";"";"";""
2007-150-297;Het Huis van Alijn (Gent);kerstbal;Kerstboomversiering in vorm van paddestoelen;"";"";"";"";"";""
2007-117-122;Het Huis van Alijn (Gent);vacuümtrekker;Steriliseerapparaat van Sterivite;"";"";"";"";"";""
2009-046-262;Het Huis van Alijn (Gent);rolschaats;Blauw-gele rolschaatsen;"";"";"";onbekend;"";""
1926-735;Het Huis van Alijn (Gent);hakmes (culinair gereedschap);Groentehakmes;"";1796;"";"";"";""
2004-247-133;Het Huis van Alijn (Gent);glasnegatief;Het poppentheater van John Holden op de Gentse foor, ca. 1890;Het poppentheater van John Holden op de foor op het Sint-Pietersplein te Gent. De barokke versieringen op de dertig meter brede façade zijn hier van dichterbij zichtbaar. Enkele voorbijgangers bekijken de schilderijtjes op de gevel nauwkeurig. De twee kinderen op de voorgrond kijken omhoog naar de materialen die boven de Pit Entrance zijn opgesteld. De grote trom die goed te zien is maakt misschien deel uit van een automatisch orkestje. Op de affiche die op het toegangspoortje hangt is het volgende leesbaar: Le Célèbre Palais de Fantohes John Holden. Aan de ingang van het theater is het druk, vele foorgangers staan aan te schuiven aan de kassa.;1890;"";Vander Haeghen, Arnold;fotograaf;Gent
1976-042-005;Het Huis van Alijn (Gent);foto;Lijkkoets voor kinderen derde klasse;Foto van een lijkkoets voor kinderen behorend tot de derde klasse in de samenleving. De lijkkoets wordt getrokken door twee paarden. Naast de koets staat een zogenaamde lijkbidder.;"";"";Sacré, Edmond;fotograaf;Gent
2003-002-102;Het Huis van Alijn (Gent);hoepel (speelgoed);Hoepels van jongleurs The Wortney's;Witgeverfde houten hoepels met een U-vormig profiel. Attributen van The Wortney's uit circus Demuynck.;1913;"";"";"";""
2003-002-091;Het Huis van Alijn (Gent);fakkel$koffer;Fakkels van Circus Demuynck;"";1920;"";"";"";""
2004-247-146;Het Huis van Alijn (Gent);glasnegatief;Twee mannen kijken rond op de Gentse foor, ca. 1890-1895;Twee mannen staan leunend op hun paraplu of wandelstok rond te kijken op de foor op het Sint-Pietersplein in Gent, voor de zijmuur van de toenmalige kazerne. Op hun hoofden dragen ze een faas. Rondom hen zijn nog een heel aantal foorgangers te bespeuren. Links op de achtergrond staat de Montagne Russe van directeur Russell, met een woonwagen ernaast. Daarboven is een stuk van de O.L.V. Sint-Pieterskerk zichtbaar.;1890;1895;Vander Haeghen, Arnold;fotograaf;Gent
1972-241-001;Het Huis van Alijn (Gent);sigarenknipper;Sigarenknippertje;"";"";"";"";"";""
1926-395;Het Huis van Alijn (Gent);strijkijzer;Houtskoolijzer van gietijzer;Dit strijkijzer behoorde toe tot een kleermaker.;"";"";"";"";""
2007-119-125;Het Huis van Alijn (Gent);groentehakmes;Groentensnijder Susi Matic 85;"";"";"";"";"";""
1976-042-008;Het Huis van Alijn (Gent);foto;Lijkkoets eerste klasse;Foto van een lijkkoets voor volwassenen behorend tot de eerste klasse in de samenleving.;"";"";Sacré, Edmond;fotograaf;Gent
2007-117-049;Het Huis van Alijn (Gent);kop (drinkgerei);Babydrinkbeker;Roze babydrinkbeker uit kunststof met twee handgrepen.;"";"";"";"";""
1979-239-119;Het Huis van Alijn (Gent);sigarettenhouder;Houder voor het presenteren van sigaretten en lucifers;"";"";"";onbekend;"";""
2007-117-102;Het Huis van Alijn (Gent);afwasmiddel;Afwasmiddel van het merk Pril;"";"";"";"";"";""
2007-117-081;Het Huis van Alijn (Gent);schaal;Schaal met zwarte en goudkleurige decoratie;Licht concave schaal van aardewerk met drie afgeronde hoeken. Er werden drie zwarte, decoratieve vlakken voorzien en goudkleurige lijnen.;"";"";"";"";""
1988-113;Het Huis van Alijn (Gent);garde;Spiraalklopper;"";"";"";"";"";""
2007-117-083;Het Huis van Alijn (Gent);schaal;Ellipsvormige schaal;Ellipsvormige schaal van draadwerk. De schaal steunt op vier pootjes en is aan de bovenzijde voorzien van een handgreep. De schaal heeft aan de ene zijde een zwarte en aan de andere zijde een beige kleur.;"";"";"";"";""
2007-117-086;Het Huis van Alijn (Gent);platenkoffer;Koffertje voor het opbergen van singles;"";"";"";"";"";""
2007-117-080;Het Huis van Alijn (Gent);schaal;Ovale schaal;"";"";"";"";"";West-Duitsland
2007-117-110;Het Huis van Alijn (Gent);stijfsel;Glans- en strijkpoeder Paon;"";"";"";"";"";""
2007-117-100;Het Huis van Alijn (Gent);zeep;Huishoudzeep Palmex;"";"";"";"";"";""
2007-117-131;Het Huis van Alijn (Gent);thermosfles;Thermosfles;"";"";"";"";"";""
2007-117-082;Het Huis van Alijn (Gent);schaal;Schaal met handgreep;Geglazuurde schaal met geometrische versiering en een handgreep van hout. De schaal is vrij ondiep en beschikt over licht opstaande wanden. De versiering bestaat uit een lijnenpatroon en enkele gele, blauwe en bruine vlakken.;"";"";"";"";""
2007-117-096;Het Huis van Alijn (Gent);trainingstoestel;Hometrainer;Witte hometrainer met lederen zadel en handgrepen van kunststof.;"";"";"";"";""
2007-117-034;Het Huis van Alijn (Gent);haarverzorgingsproduct;Verpakkingsmateriaal voor shampoo;Verpakkingsmateriaal 210 shampooing pour Brune, van het merk Tranoy.;"";"";"";"";""
2007-118-011;Het Huis van Alijn (Gent);cassettebox$geluidscassette;Cassettemolen voor het opbergen van audiocassettes;"";"";"";"";"";""
2007-117-097;Het Huis van Alijn (Gent);bijzettafeltje;Bijzettafeltje met tafelblad in glas;"";"";"";"";"";""
2007-118-045;Het Huis van Alijn (Gent);krantenbak;Dagbladhouder;"";"";"";"";"";""
2007-118-013;Het Huis van Alijn (Gent);kaptafel;Make-uptafel;"";"";"";"";"";""
2007-117-028;Het Huis van Alijn (Gent);haarspeld;Columbia twaalf haarspelden;"";"";"";"";"";""
2007-118-031;Het Huis van Alijn (Gent);verwarmingstoestel;Warmhoudtoestel;"";1970;1979;"";"";""
2007-119-013;Het Huis van Alijn (Gent);bus (houder);Conserveerdoos LL;"";"";"";"";"";""
2007-119-034;Het Huis van Alijn (Gent);weegschaal (meetinstrument);Groene keukenweegschaal Stube;"";"";"";"";"";Duitsland
2007-119-069;Het Huis van Alijn (Gent);melkkrat;Melkflesmand LL;"";"";"";"";"";""
2007-119-093;Het Huis van Alijn (Gent);weegschaal (meetinstrument);Personenweegschaal Terraillon;"";"";"";"";"";""
2007-117-090;Het Huis van Alijn (Gent);picknickset;Koffer met picknickset;"";"";"";"";"";""
2007-119-165;Het Huis van Alijn (Gent);warmwaterkruik;Warmwaterkruik Pirelli;"";"";"";"";"";""
2007-119-167;Het Huis van Alijn (Gent);bijzettafeltje;Opdientafeltje op wieltjes;"";"";"";"";"";""
2007-119-168;Het Huis van Alijn (Gent);boodschappentas;Boodschappentas;"";"";"";"";"";""
2007-119-014;Het Huis van Alijn (Gent);steriliseerketel;Sterilisator Duralinox;"";"";"";"";"";""
2007-119-211;Het Huis van Alijn (Gent);doos;Blikken doos met drie eerste astronauten op de maan;Een blikken doos met de afbeelding van de drie eerste mensen op de maan. De bemanning van de Apollo 11 bestond uit astronauten Neil Armstrong, Edwin Aldrin en Michael Collins.;"";"";"";"";""
2007-150-768;Het Huis van Alijn (Gent);koffer;Lichtbruine reiskoffer;Lichtbruine reiskoffer waarop enkele stickers gekleefd zijn van reisbureau Royal Tours uit Ledeberg, Altea uit Spanje en autokamp Pivka Jama en Opatija uit het voormalige Joegoslavië.;"";"";"";"";""
2007-119-244;Het Huis van Alijn (Gent);leesplank;Leesplankje Procure Brussel';"";"";"";"";"";""
1973-505-001;Het Huis van Alijn (Gent);koffiekan$koffiefilterpot;Koffiekan en filter van aluminium;"";"";"";"";"";""
2007-117-062;Het Huis van Alijn (Gent);zeep;Zeep Cadum;"";"";"";"";"";""
2007-150-436;Het Huis van Alijn (Gent);lantaarn;Lantaarn voor kampeerders van het merk Wonder;"";"";"";"";"";""
2007-150-748;Het Huis van Alijn (Gent);waspoeder;Waspoeder Dash;"";"";"";"";"";""
1975-385;Het Huis van Alijn (Gent);waterketel;Groene waterketel;"";"";"";onbekend;"";""
2010-048-004;Het Huis van Alijn (Gent);handmixer;Handmixer;"";"";"";"";"";""
1973-536-002;Het Huis van Alijn (Gent);onderzetter;Groene onderzetter;"";"";"";onbekend;"";""
2003-002-146;Het Huis van Alijn (Gent);stoel;Blauwe klapstoel van Circus Demuynck;Blauwe logestoel waarvan het zit- en ruggedeelte is vervaardigd uit houten latjes. De stoel dateert uit de tijd van de kiosktenten. Deze stoelen boden het beste uitzicht op de piste en vormden zo de duurdere plaatsen voor het publiek. Afkomstig van circus Demuynck.;1950;"";"";"";""
2007-117-132;Het Huis van Alijn (Gent);ontpitter;Ontpitter Wilesco;"";"";"";"";"";""
1971-047-005;Het Huis van Alijn (Gent);santon;Kerststalfiguur Jozef;Knielende man met rood haar. De kerststalfiguur draagt een paars kleed en zit in een knielende houding. Hij steunt op de linkerknie. Hij draagt een paarse mantel en een scepter in de rechterhand. De hand is op de linkerborst geplaatst.;"";"";"";"";""
1971-047-008;Het Huis van Alijn (Gent);santon;Kerststalfiguur koning;Beeld van Afrikaanse koning. De koning draagt een lichtgele cape en een blauw kleed. Hij zit volledig op de knieën en houdt zijn rechterhand op de borst. Hij heeft mirre mee.;"";"";"";"";""
2007-150-050;Het Huis van Alijn (Gent);garde;Spiraalklopper;"";"";"";"";"";""
2007-148-059;Het Huis van Alijn (Gent);koffiekan;Koffiekan met koffiefilter en koffiefilterhouder;"";"";"";onbekend;"";""
1971-047-010;Het Huis van Alijn (Gent);santon;Kerststalfiguur;Beeld van knielende herder met broden. De man is kaal en heeft een grijze baard. In zijn armen draagt hij een mand met broden. Zijn kleed is wit met rode vlekken. Hij zit geknield op zijn linkerknie.;"";"";"";"";""
1926-052;Het Huis van Alijn (Gent);voetstoof;Voetstoof van hout;"";"";"";"";"";""
1981-043-008;Het Huis van Alijn (Gent);kerfstok;Kerfstok;Fijne kerfstok uit hout. Een kerfstok diende voor het tellen of meten van een schuld of betaling. De schuldenaar en schuldeiser hadden elk een stok. Op deze manier kon er bij een winkelier op krediet gekocht worden. In de kerfstok werden bij aankoop insnijdingen gemaakt in het hout, de kerven in beide stokken dienden overeen te komen en diende zo als schuldbewijs.;"";"";"";"";""
1988-053-002;Het Huis van Alijn (Gent);melkkan;Witte melkkan met groen motief;"";"";"";onbekend;"";""
1965-051-014;Het Huis van Alijn (Gent);onderzetter;Blauwe onderzetter;"";"";"";onbekend;"";""
2007-150-088-002;Het Huis van Alijn (Gent);bus (houder);Voorraadpot Bitterpeëen;"";"";"";"";"";""
2007-150-063;Het Huis van Alijn (Gent);vruchtenpers;Vruchtenpers Simplex;"";"";"";"";"";""
2007-150-062;Het Huis van Alijn (Gent);vruchtenpers;Vruchtenpers;"";"";"";"";"";""
2007-165-003;Het Huis van Alijn (Gent);postkaart;Baby's komen uit een eiermand;"";"";"";"";"";""
2009-061-007;Het Huis van Alijn (Gent);haarverzorgingsproduct;Brillantine Palmolive;"";"";"";"";"";""
1989-004-006;Het Huis van Alijn (Gent);broodrooster;Elektrische broodrooster met klapdeurtjes;"";"";"";onbekend;"";""
2007-117-129;Het Huis van Alijn (Gent);thermosfles;Thermosfles Coleman;"";"";"";"";"";""
2004-247-288;Het Huis van Alijn (Gent);glasnegatief;Dansend paar op het strand, Blankenberge;"";"";"";Vander Haeghen, Arnold;fotograaf;Gent
2007-150-206;Het Huis van Alijn (Gent);schoensmeer;Schoensmeer Domino;"";"";"";"";"";""
2007-150-195;Het Huis van Alijn (Gent);vliegenvanger;Vliegenvanger Aeroxon;"";"";"";"";"";""
2007-150-216;Het Huis van Alijn (Gent);stofzuiger;Handstofzuiger Joron met hulpstukken in originele doos;"";"";"";"";"";""
2007-059-003;Het Huis van Alijn (Gent);massagetoestel;Massage-apparaat Vibrion in verpakking;Massage-apparaat Vibrion in verpakking en met gebruiksaanwijzing. Het toestel laat de huid 100 keer per seconde trillen en stimuleerde de bloedcirculatie, hielp tegen cellulite, migraine en reuma. Naast het toestel bevat de verpakking ook een lederen riem en vier rubberen hulpstukken.;1950;1960;Brodard;fabrikant;Frankrijk
2010-003-068;Het Huis van Alijn (Gent);kaars;Set met 24 Party kaarsen;"";"";"";"";"";""
2007-150-591;Het Huis van Alijn (Gent);dienblad;Dienblad Stella Artois;"";"";"";"";"";""
2006-047-007;Het Huis van Alijn (Gent);productverpakking;Chocolade Côte d'Or;Verpakking voor chocolade Côte d'Or met opschrift: En voyage imporez le baton Côté d'Or - Chocolat fondant incomparable - Possède l'arome complet des meilleurs cacaos - usines alimenta Bruxelles - 48 batons.;"";"";"";"";""
2007-150-119;Het Huis van Alijn (Gent);schotelwarmer;Schotelwarmer;"";"";"";"";"";""
2007-150-444;Het Huis van Alijn (Gent);nummerplaat;Nummerplaat voor fiets Liège 1952;"";1952;"";"";"";""
2007-150-442;Het Huis van Alijn (Gent);nummerplaat;Nummerplaat voor fiets Hainaut 1951;"";1951;"";"";"";""
2007-150-303;Het Huis van Alijn (Gent);kerstboomverlichting;Kerstboomverlichting Sigtay;"";"";"";"";"";""
1973-388-005;Het Huis van Alijn (Gent);lei;Lei in houten raam;Rechthoekige, donkere lei waarin krassen zijn gemaakt. Het houten framewerk is met nagels aan elkaar geslagen. De lei werd beschreven met een griffel of met krijt. Deze lei werd destijds gebruikt in de lagere school behorend tot het klooster van Aspelaere.;"";"";"";"";""
2007-150-434;Het Huis van Alijn (Gent);kruimelveger;Kruimelveger Tabel Cleaner;"";"";"";"";"";""
2007-150-893;Het Huis van Alijn (Gent);broodrooster;Broodrooster met klapdeurtjes Kalorik;Broodrooster van Kalorik met originele productverpakking in karton. De broodrooster heeft ronde handvaten en vlamvormige insneden. Er bestaat ook een gelijkaardig model met schelpvormige handvaten.;1945;"";Kalorik;fabrikant;België
2007-150-504;Het Huis van Alijn (Gent);inktpot;Inktpot van Renard;"";"";"";"";"";""
2007-150-724;Het Huis van Alijn (Gent);filmprojector;Filmprojector Minilap;Filmprojector Minilap Lapierre Cinéma voor Super 8 film.;"";"";onbekend;"";Frankrijk
2007-150-680;Het Huis van Alijn (Gent);mand;Mandje voor paaseieren;"";"";"";"";"";""
1976-173-283;Het Huis van Alijn (Gent);tas (kledingaccessoire);Draagtas voor treinconducteur;Draagtas voor treinconducteur met treinticketten en bankbiljetten. De draagtas bestaat uit rood karton en is voorzien van een brede sluitklep met verguld metalen symbool van de spoorwegen (gekroond en gevleugeld rad). De lange draagriem sluit met een koperen gesp. Binnenin zitten ticketjes met opschrift: Chemin de Fer de l'enfant - Paris à Bruxelles - IInde Classe.;"";"";"";"";""
2007-150-738;Het Huis van Alijn (Gent);koelbox;Koelbox uit kunststof;"";"";"";onbekend;"";""
2001-059;Het Huis van Alijn (Gent);flessenkurker;Kurkenklopper van hout;Een flessenkurker of kurkenklopper wordt gebruikt om flessen te kurken. Het is een houten holle cilinder met een staaf erin waarop geklopt wordt. De kurk wordt langs boven in de flessenkurker gestopt en loopt naar beneden toe smaller. Door een krachtige slag op de kop van de flessenkurker wordt de kurk in de fles geslagen. De kurk wordt gekookt zodat hij makkelijker door de flessenkurker en in de hals van de fles kan.;"";"";"";"";""
2007-150-302;Het Huis van Alijn (Gent);kerstboomverlichting;Kerstboomverlichting Pile Wonder;"";"";"";"";"";""
2007-150-449;Het Huis van Alijn (Gent);nummerplaat;Nummerplaat voor fiets Namur 1956;"";1956;"";"";"";""
2007-147-010;Het Huis van Alijn (Gent);poederdoos;Doos babypoeder Junior;"";"";"";"";"";""
2002-001;Het Huis van Alijn (Gent);flessenkurker;Flessenkurker;De flessenkurker of kurkenklopper bestaat uit een houten, holle cilinder met een staaf erin. Op de houten knop die is verbonden met de staaf kan een korte, krachtige slag worden gegeven, zodat de kurk in de fles wordt geklopt. Vooraleer de kurk in de fles wordt geklopt wordt deze eerst gekookt, zodat deze makkelijker door de flessenkurker en in de hals van de fles kan.;"";"";"";"";""
2007-150-443;Het Huis van Alijn (Gent);nummerplaat;Nummerplaat voor fiets Liège 1951;"";1951;"";"";"";""
1973-276-002;Het Huis van Alijn (Gent);kop (figuurvoorstellingen);Reuzenkop Amanda;Reuzenkop van Amanda van de dekenij Heuvelpoort. Kop van papier-maché. Vrouw met bril en opengesperde mond. De reus heeft grijs haar en een opengesperde mond met valse tanden. De naam van de reus is ontleend aan de Sint-Amandstraat, in de buurt van het Sint-Pietersplein en de Heuvelpoort. De reuzen Kwinten en Amanda werden omstreeks 1905 ingehuldigd. Tijdens de Gentse Feesten van 1927 werden ze tentoongesteld in het voormalige Folkloremuseum in de Lange Steenstraat in Gent. In 1947 startte de dekenij Heuvelpoortstraat opnieuw met een reuzenommegang waarbij reus Amanda aanwezig was. De dekenij hield op met paraderen met de reuzen in 1958.;1905;"";"";"";""
1969-006;Het Huis van Alijn (Gent);miniatuur;Speelgoedkast;Eiken speelgoedkast, bestaande uit een onderkast met twee deurtjes en paneeltjes in reliëf. Binnenin zit een draagplankje. Boven deze onderkast staat een kastje met één deur met glas. De bovenkast steunt op twee gedraaide voorpoten en achteraan op een plank met reliëfpaneel. Bovenaan is een kroonlijst aangebracht.;1935;"";"";"";""
1926-376;Het Huis van Alijn (Gent);strijkijzer;Kachelbout van gietijzer;Dit strijkijzer met afbeelding van een verliefd koppel werd vermoedelijk als huwelijksgeschenk gegeven.;"";"";"";"";""
1982-307;Het Huis van Alijn (Gent);geneesmiddel;Thermogène;"Geneesmiddel Le Thermogène in rode, papieren verpakking. Opschrift: Le Thermogène bestrijdt hoest, rheumatiek, pijn in de zij, enz. Le Thermogène combat toux, rhumatismes, points de côté, etc.; Lumbagos, Rugpijn, Rhumatisme, Rheumatiek. Op de verpakking staat een vuurspuwende persoon afgebeeld.";"";"";"";"";""
2007-117-094;Het Huis van Alijn (Gent);krantenmand;Krantenhouder;"";"";"";"";"";""
2007-117-105;Het Huis van Alijn (Gent);stijfsel;Stijfsel van het merk Crackfree;"";"";"";"";"";""
2007-117-111;Het Huis van Alijn (Gent);wasmiddel;Wasproduct Bulle Bleue;"";"";"";"";"";""
2007-117-126;Het Huis van Alijn (Gent);eiersnijder;Eiersnijder Simplex;"";"";"";"";"";""
2007-117-130;Het Huis van Alijn (Gent);thermosfles;Thermosfles;"";"";"";"";"";""
2007-147-007;Het Huis van Alijn (Gent);scheerkwast;Scheerkwast Omega;"";"";"";"";"";""
2007-119-091;Het Huis van Alijn (Gent);handmixer;Handklopper Tala;"";"";"";"";"";""
2007-119-210;Het Huis van Alijn (Gent);radio-ontvanger;Fietsradio Gold Star Runner;"";"";"";"";"";""
2007-119-178;Het Huis van Alijn (Gent);gezichtsbruiner;Minisonne Astralux;"";"";"";"";"";""
2007-119-203;Het Huis van Alijn (Gent);scheerzeep;Scheerstaaf Palmolive;"";"";"";"";"";""
1965-089-043;Het Huis van Alijn (Gent);stangpop;Varken van Sint-Antonius;Houten varken, roze geschilderd met lederen oortjes. Poppenkastpop van het Spelleke van de Muide.;1922;1950;"";"";""
2007-118-032;Het Huis van Alijn (Gent);productverpakking;Verpakking voor koffie uit Nicaragua;"";"";"";"";"";""
2007-119-163;Het Huis van Alijn (Gent);waterglas;Set drinkglazen in mandje;"";"";"";"";"";""
2007-118-039-001;Het Huis van Alijn (Gent);bijzettafeltje;Bijzettafeltje met tafelblad in aardewerk;"";"";"";"";"";""
2007-118-046;Het Huis van Alijn (Gent);ijsemmer;Ijsemmer in appelvorm;"";"";"";"";"";""
1976-042-007;Het Huis van Alijn (Gent);foto;Lijkkoets eerste klasse;Foto van een lijkkoets voor volwassenen behorend tot de eerste klasse in de samenleving. De lijkkoets wordt getrokken door twee paarden die rouwkleden dragen. Naast de koets staan zogenaamde lijkbidders. De lijkkoets wordt voorafgegaan door een ceremoniemeester.;"";"";Sacré, Edmond;fotograaf;Gent
2004-247-141;Het Huis van Alijn (Gent);glasnegatief;Een kermistheater op de Gentse foor, ca. 1890-1895;De ingang van een foortheater, waarschijnlijk tijdens de Gentse foor op het Sint-Pietersplein. De dame voor de ingang is wellicht de eigenaar van het theater of een artieste die het publiek warm maakt voor de volgende voorstelling. Links achter haar staat een pop. De bordjes met 10 en 25 op de steunpalen van de barak geven de verschillende prijscategorieën aan (in centiemen). Aan de kledingaccessoires van de twee vrouwen voor de barak is te merken dat ze zich speciaal voor de kermis hebben opgekleed.;1890;1895;Vander Haeghen, Arnold;fotograaf;Gent
2004-247-144;Het Huis van Alijn (Gent);glasnegatief;Verkopers van koeken en fruit op de Gentse foor, ca. 1890-1895;Twee verkoopsters en een verkoper zitten achter hun manden met appels en koeken op de hoek van het Sint-Pietersplein en de Sint-Pietersnieuwstraat in Gent tijdens de foor. Achter de verkoper staat een welgestelde familie met kinderen. Rechts op de foto zijn een lantaarnpaal en een postbus te zien.;1890;1895;Vander Haeghen, Arnold;fotograaf;Gent
1965-089-074;Het Huis van Alijn (Gent);stangpop;Boer Mulder;Stangpop van boer Mulder met vilten puntmuts. De pop draagt een lang, blauwgroen katoenen hemd met lange mouwen met daaronder een gestreept hemd. Onder het hemd steken twee jaspanden uit in zwarte stof. Lange, zwarte broek met verticale, grijze strepen. Uit de rechterzak van het hemd steekt een rode zakdoek. Poppenkastpop uit het Spelleke van de Muide.;1922;1950;"";"";""
